"subject" "activityName" "signalMeasure" "value"
"test" "LAYING" "tBodyAcc-std()-Y" -0.958961259925512
"test" "LAYING" "tBodyAcc-std()-Z" -0.964927132290503
"test" "LAYING" "tBodyAccJerk-mean()-X" 0.0825682671290503
"test" "LAYING" "tBodyAccJerk-mean()-Y" 0.0107112016761881
"test" "LAYING" "tBodyAccJerk-mean()-Z" -0.00364736361863873
"test" "LAYING" "tBodyAccJerk-std()-X" -0.980256750707635
"test" "LAYING" "tBodyAccJerk-std()-Y" -0.972278279683426
"test" "LAYING" "tBodyAccJerk-std()-Z" -0.979848204692737
"test" "LAYING" "tBodyAccJerkMag-mean()" -0.979577853575419
"test" "LAYING" "tBodyAccJerkMag-std()" -0.974610375400372
"test" "LAYING" "tBodyAccMag-mean()" -0.961578850614525
"test" "LAYING" "tBodyAccMag-std()" -0.949805818519553
"test" "LAYING" "tBodyGyro-mean()-X" -0.0166314081294004
"test" "LAYING" "tBodyGyro-mean()-Y" -0.0979956312043575
"test" "LAYING" "tBodyGyro-mean()-Z" 0.122576525847486
"test" "LAYING" "tBodyGyro-std()-X" -0.974575194841713
"test" "LAYING" "tBodyGyro-std()-Y" -0.962547564208566
"test" "LAYING" "tBodyGyro-std()-Z" -0.968943417318436
"test" "LAYING" "tBodyGyroJerk-mean()-X" -0.101457328947858
"test" "LAYING" "tBodyGyroJerk-mean()-Y" -0.03801389731527
"test" "LAYING" "tBodyGyroJerk-mean()-Z" -0.0634655948080075
"test" "LAYING" "tBodyGyroJerk-std()-X" -0.977778340986965
"test" "LAYING" "tBodyGyroJerk-std()-Y" -0.977947653873371
"test" "LAYING" "tBodyGyroJerk-std()-Z" -0.985304182718808
"test" "LAYING" "tBodyGyroJerkMag-mean()" -0.981573659888268
"test" "LAYING" "tBodyGyroJerkMag-std()" -0.975261643500931
"test" "LAYING" "tBodyGyroMag-mean()" -0.945435104413408
"test" "LAYING" "tBodyGyroMag-std()" -0.94755611895717
"test" "LAYING" "tGravityAcc-mean()-X" -0.385937754614525
"test" "LAYING" "tGravityAcc-mean()-Y" 0.594350912979516
"test" "LAYING" "tGravityAcc-mean()-Z" 0.503317463620112
"test" "LAYING" "tGravityAcc-std()-X" -0.947827229962756
"test" "LAYING" "tGravityAcc-std()-Y" -0.979253784934823
"test" "LAYING" "tGravityAcc-std()-Z" -0.973531121975791
"test" "LAYING" "tGravityAccMag-mean()" -0.961578850614525
"test" "LAYING" "tGravityAccMag-std()" -0.949805818519553
"test" "SITTING" "angle(tBodyAccJerkMean),gravityMean)" 0.00324127537120163
"test" "SITTING" "angle(tBodyAccMean,gravity)" 0.0116984859459674
"test" "SITTING" "angle(tBodyGyroJerkMean,gravityMean)" -0.0471132717829328
"test" "SITTING" "angle(tBodyGyroMean,gravityMean)" 0.00477415245680855
"test" "SITTING" "angle(X,gravityMean)" -0.745914133095723
"test" "SITTING" "angle(Y,gravityMean)" 0.0323247781325255
"test" "SITTING" "angle(Z,gravityMean)" -0.0721941301013849
"test" "SITTING" "fBodyAcc-mean()-X" -0.982716887922607
"test" "SITTING" "fBodyAcc-mean()-Y" -0.945651716354379
"test" "SITTING" "fBodyAcc-mean()-Z" -0.955853613588595
"test" "SITTING" "fBodyAcc-meanFreq()-X" -0.0106464478125458
"test" "SITTING" "fBodyAcc-meanFreq()-Y" 0.0351429777236253
"test" "SITTING" "fBodyAcc-meanFreq()-Z" 0.0701454142950356
"test" "SITTING" "fBodyAcc-std()-X" -0.983935781955193
"test" "SITTING" "fBodyAcc-std()-Y" -0.928826696148676
"test" "SITTING" "fBodyAcc-std()-Z" -0.933819490450509
"test" "SITTING" "fBodyAccJerk-mean()-X" -0.983854947474542
"test" "SITTING" "fBodyAccJerk-mean()-Y" -0.971843441731161
"test" "SITTING" "fBodyAccJerk-mean()-Z" -0.978797028004073
"test" "SITTING" "fBodyAccJerk-meanFreq()-X" 0.18600175734389
"test" "SITTING" "fBodyAccJerk-meanFreq()-Y" -0.0743992308852138
"test" "SITTING" "fBodyAccJerk-meanFreq()-Z" -0.00780420978716904
"test" "SITTING" "fBodyAccJerk-std()-X" -0.984772635397149
"test" "SITTING" "fBodyAccJerk-std()-Y" -0.974082505132383
"test" "SITTING" "fBodyAccJerk-std()-Z" -0.98325268293279
"test" "SITTING" "fBodyAccMag-mean()" -0.951721972551935
"test" "SITTING" "fBodyAccMag-meanFreq()" 0.100739377475153
"test" "SITTING" "fBodyAccMag-std()" -0.94208825496945
"test" "SITTING" "fBodyBodyAccJerkMag-mean()" -0.977173862342159
"test" "SITTING" "fBodyBodyAccJerkMag-meanFreq()" 0.29065200371501
"test" "SITTING" "fBodyBodyAccJerkMag-std()" -0.976917733543788
"test" "SITTING" "fBodyBodyGyroJerkMag-mean()" -0.984435176130346
"test" "SITTING" "fBodyBodyGyroJerkMag-meanFreq()" 0.189491062636741
"test" "SITTING" "fBodyBodyGyroJerkMag-std()" -0.98400311509165
"test" "SITTING" "fBodyBodyGyroMag-mean()" -0.964803846456212
"test" "SITTING" "fBodyBodyGyroMag-meanFreq()" -0.0927008797590428
"test" "SITTING" "fBodyBodyGyroMag-std()" -0.95254545598778
"test" "SITTING" "fBodyGyro-mean()-X" -0.975674870224033
"test" "SITTING" "fBodyGyro-mean()-Y" -0.973174330101833
"test" "SITTING" "fBodyGyro-mean()-Z" -0.959785362179226
"test" "SITTING" "fBodyGyro-meanFreq()-X" 0.0518606610295519
"test" "SITTING" "fBodyGyro-meanFreq()-Y" -0.216900663478411
"test" "SITTING" "fBodyGyro-meanFreq()-Z" -0.0588909067697556
"test" "SITTING" "fBodyGyro-std()-X" -0.981948078452138
"test" "SITTING" "fBodyGyro-std()-Y" -0.965280836802444
"test" "SITTING" "fBodyGyro-std()-Z" -0.958576115132383
"test" "SITTING" "tBodyAcc-mean()-X" 0.272039760352342
"test" "SITTING" "tBodyAcc-mean()-Y" -0.0141221515132994
"test" "SITTING" "tBodyAcc-mean()-Z" -0.102730909698778
"test" "SITTING" "tBodyAcc-std()-X" -0.983437472749491
"test" "SITTING" "tBodyAcc-std()-Y" -0.9314033418778
"test" "SITTING" "tBodyAcc-std()-Z" -0.938215184142566
"test" "SITTING" "tBodyAccJerk-mean()-X" 0.076153849587169
"test" "SITTING" "tBodyAccJerk-mean()-Y" 0.00523557345498982
"test" "SITTING" "tBodyAccJerk-mean()-Z" -0.00410731471661263
"test" "SITTING" "tBodyAccJerk-std()-X" -0.983563065824847
"test" "SITTING" "tBodyAccJerk-std()-Y" -0.971875152668024
"test" "SITTING" "tBodyAccJerk-std()-Z" -0.981694772077393
"test" "SITTING" "tBodyAccJerkMag-mean()" -0.981076791425662
"test" "SITTING" "tBodyAccJerkMag-std()" -0.977510406741344
"test" "SITTING" "tBodyAccMag-mean()" -0.953534394704684
"test" "SITTING" "tBodyAccMag-std()" -0.9392153100611
"test" "SITTING" "tBodyGyro-mean()-X" -0.0400046946661914
"test" "SITTING" "tBodyGyro-mean()-Y" -0.0703346296040733
"test" "SITTING" "tBodyGyro-mean()-Z" 0.0759514418063747
"test" "SITTING" "tBodyGyro-std()-X" -0.980391992382892
"test" "SITTING" "tBodyGyro-std()-Y" -0.967761899022403
"test" "SITTING" "tBodyGyro-std()-Z" -0.955691205600815
"test" "SITTING" "tBodyGyroJerk-mean()-X" -0.0948832319185336
"test" "SITTING" "tBodyGyroJerk-mean()-Y" -0.0412598892004073
"test" "SITTING" "tBodyGyroJerk-mean()-Z" -0.0493232638925051
"test" "SITTING" "tBodyGyroJerk-std()-X" -0.983401234236253
"test" "SITTING" "tBodyGyroJerk-std()-Y" -0.986105054114053
"test" "SITTING" "tBodyGyroJerk-std()-Z" -0.982864892851324
"test" "SITTING" "tBodyGyroJerkMag-mean()" -0.986915690997963
"test" "SITTING" "tBodyGyroJerkMag-std()" -0.983877373299389
"test" "SITTING" "tBodyGyroMag-mean()" -0.944897951527495
"test" "SITTING" "tBodyGyroMag-std()" -0.952093296334012
"test" "SITTING" "tGravityAcc-mean()-X" 0.9028616299389
"test" "SITTING" "tGravityAcc-mean()-Y" 0.071857995734034
"test" "SITTING" "tGravityAcc-mean()-Z" 0.131904738775356
"test" "SITTING" "tGravityAcc-std()-X" -0.981298906069246
"test" "SITTING" "tGravityAcc-std()-Y" -0.957728709456212
"test" "SITTING" "tGravityAcc-std()-Z" -0.947828792947047
"test" "SITTING" "tGravityAccMag-mean()" -0.953534394704684
"test" "SITTING" "tGravityAccMag-std()" -0.9392153100611
"test" "STANDING" "angle(tBodyAccJerkMean),gravityMean)" 0.0100902995684023
"test" "STANDING" "angle(tBodyAccMean,gravity)" 0.00761677193793233
"test" "STANDING" "angle(tBodyGyroJerkMean,gravityMean)" 0.0241512513503759
"test" "STANDING" "angle(tBodyGyroMean,gravityMean)" 0.0113039995984962
"test" "STANDING" "angle(X,gravityMean)" -0.775039971785714
"test" "STANDING" "angle(Y,gravityMean)" 0.213692929546617
"test" "STANDING" "angle(Z,gravityMean)" 0.00753594715657895
"test" "STANDING" "fBodyAcc-mean()-X" -0.978289100733083
"test" "STANDING" "fBodyAcc-mean()-Y" -0.935336432838346
"test" "STANDING" "fBodyAcc-mean()-Z" -0.952981901785714
"test" "STANDING" "fBodyAcc-meanFreq()-X" 0.0383358453028008
"test" "STANDING" "fBodyAcc-meanFreq()-Y" -0.0516839317393045
"test" "STANDING" "fBodyAcc-meanFreq()-Z" 0.0279234111547744
"test" "STANDING" "fBodyAcc-std()-X" -0.984014116334586
"test" "STANDING" "fBodyAcc-std()-Y" -0.922115261618421
"test" "STANDING" "fBodyAcc-std()-Z" -0.928665948665414
"test" "STANDING" "fBodyAccJerk-mean()-X" -0.975829558834586
"test" "STANDING" "fBodyAccJerk-mean()-Y" -0.958388878139098
"test" "STANDING" "fBodyAccJerk-mean()-Z" -0.972891029661654
"test" "STANDING" "fBodyAccJerk-meanFreq()-X" 0.201028505532481
"test" "STANDING" "fBodyAccJerk-meanFreq()-Y" -0.15015673537797
"test" "STANDING" "fBodyAccJerk-meanFreq()-Z" 0.0142848080828008
"test" "STANDING" "fBodyAccJerk-std()-X" -0.977860039473684
"test" "STANDING" "fBodyAccJerk-std()-Y" -0.961841590695489
"test" "STANDING" "fBodyAccJerk-std()-Z" -0.979166264097744
"test" "STANDING" "fBodyAccMag-mean()" -0.949774215169173
"test" "STANDING" "fBodyAccMag-meanFreq()" 0.0150691059552444
"test" "STANDING" "fBodyAccMag-std()" -0.943924405018797
"test" "STANDING" "fBodyBodyAccJerkMag-mean()" -0.965635777255639
"test" "STANDING" "fBodyBodyAccJerkMag-meanFreq()" 0.224406711531579
"test" "STANDING" "fBodyBodyAccJerkMag-std()" -0.965905446015038
"test" "STANDING" "fBodyBodyGyroJerkMag-mean()" -0.968115551522556
"test" "STANDING" "fBodyBodyGyroJerkMag-meanFreq()" 0.0605729721572744
"test" "STANDING" "fBodyBodyGyroJerkMag-std()" -0.967361696372181
"test" "STANDING" "fBodyBodyGyroMag-mean()" -0.935236448120301
"test" "STANDING" "fBodyBodyGyroMag-meanFreq()" -0.212637017544925
"test" "STANDING" "fBodyBodyGyroMag-std()" -0.914716719605263
"test" "STANDING" "fBodyGyro-mean()-X" -0.929640505827068
"test" "STANDING" "fBodyGyro-mean()-Y" -0.958267475281955
"test" "STANDING" "fBodyGyro-mean()-Z" -0.950343429605263
"test" "STANDING" "fBodyGyro-meanFreq()-X" -0.257545400482613
"test" "STANDING" "fBodyGyro-meanFreq()-Y" -0.236036350127876
"test" "STANDING" "fBodyGyro-meanFreq()-Z" -0.122110824197009
"test" "STANDING" "fBodyGyro-std()-X" -0.933147031785714
"test" "STANDING" "fBodyGyro-std()-Y" -0.952000106052632
"test" "STANDING" "fBodyGyro-std()-Z" -0.953564673195489
"test" "STANDING" "tBodyAcc-mean()-X" 0.278791235789474
"test" "STANDING" "tBodyAcc-mean()-Y" -0.0162262731035301
"test" "STANDING" "tBodyAcc-mean()-Z" -0.10466868287406
"test" "STANDING" "tBodyAcc-std()-X" -0.982080518496241
"test" "STANDING" "tBodyAcc-std()-Y" -0.923457376973684
"test" "STANDING" "tBodyAcc-std()-Z" -0.933595536629699
"test" "STANDING" "tBodyAccJerk-mean()-X" 0.075468957712782
"test" "STANDING" "tBodyAccJerk-mean()-Y" 0.00888523101716541
"test" "STANDING" "tBodyAccJerk-mean()-Z" -0.00641548605615977
"test" "STANDING" "tBodyAccJerk-std()-X" -0.975695739736842
"test" "STANDING" "tBodyAccJerk-std()-Y" -0.958496662406015
"test" "STANDING" "tBodyAccJerk-std()-Z" -0.976671984022556
"test" "STANDING" "tBodyAccJerkMag-mean()" -0.972931858515038
"test" "STANDING" "tBodyAccJerkMag-std()" -0.966123790845865
"test" "STANDING" "tBodyAccMag-mean()" -0.947440893270677
"test" "STANDING" "tBodyAccMag-std()" -0.940038000263158
"test" "STANDING" "tBodyGyro-mean()-X" -0.0276270984325752
"test" "STANDING" "tBodyGyro-mean()-Y" -0.0719404272818233
"test" "STANDING" "tBodyGyro-mean()-Z" 0.0836650240665414
"test" "STANDING" "tBodyGyro-std()-X" -0.931444571390977
"test" "STANDING" "tBodyGyro-std()-Y" -0.953936289642857
"test" "STANDING" "tBodyGyro-std()-Z" -0.949165841541353
"test" "STANDING" "tBodyGyroJerk-mean()-X" -0.100461129155075
"test" "STANDING" "tBodyGyroJerk-mean()-Y" -0.0419899598712406
"test" "STANDING" "tBodyGyroJerk-mean()-Z" -0.0528522741647744
"test" "STANDING" "tBodyGyroJerk-std()-X" -0.960413190958647
"test" "STANDING" "tBodyGyroJerk-std()-Y" -0.975663792180451
"test" "STANDING" "tBodyGyroJerk-std()-Z" -0.972075062631579
"test" "STANDING" "tBodyGyroJerkMag-mean()" -0.973808504699248
"test" "STANDING" "tBodyGyroJerkMag-std()" -0.966851556766917
"test" "STANDING" "tBodyGyroMag-mean()" -0.929095799830827
"test" "STANDING" "tBodyGyroMag-std()" -0.91301937112782
"test" "STANDING" "tGravityAcc-mean()-X" 0.943091097537594
"test" "STANDING" "tGravityAcc-mean()-Y" -0.189637522767538
"test" "STANDING" "tGravityAcc-mean()-Z" 0.0204009151990789
"test" "STANDING" "tGravityAcc-std()-X" -0.987356506654135
"test" "STANDING" "tGravityAcc-std()-Y" -0.96572940268797
"test" "STANDING" "tGravityAcc-std()-Z" -0.947266767753759
"test" "STANDING" "tGravityAccMag-mean()" -0.947440893270677
"test" "STANDING" "tGravityAccMag-std()" -0.940038000263158
"test" "WALKING" "angle(tBodyAccJerkMean),gravityMean)" 0.00511398265887097
"test" "WALKING" "angle(tBodyAccMean,gravity)" -0.000239483840524193
"test" "WALKING" "angle(tBodyGyroJerkMean,gravityMean)" -0.0300946587860887
"test" "WALKING" "angle(tBodyGyroMean,gravityMean)" 0.0314967033606855
"test" "WALKING" "angle(X,gravityMean)" -0.773647066653226
"test" "WALKING" "angle(Y,gravityMean)" 0.214005143205645
"test" "WALKING" "angle(Z,gravityMean)" 0.0404734938026673
"test" "WALKING" "fBodyAcc-mean()-X" -0.294540792568548
"test" "WALKING" "fBodyAcc-mean()-Y" -0.0479779302057258
"test" "WALKING" "fBodyAcc-mean()-Z" -0.3951612810625
"test" "WALKING" "fBodyAcc-meanFreq()-X" -0.248520596039315
"test" "WALKING" "fBodyAcc-meanFreq()-Y" 0.0695656997551613
"test" "WALKING" "fBodyAcc-meanFreq()-Z" 0.0919218730086109
"test" "WALKING" "fBodyAcc-std()-X" -0.331205812727218
"test" "WALKING" "fBodyAcc-std()-Y" -0.0866828255034476
"test" "WALKING" "fBodyAcc-std()-Z" -0.366538572371935
"test" "WALKING" "fBodyAccJerk-mean()-X" -0.286425196154032
"test" "WALKING" "fBodyAccJerk-mean()-Y" -0.163611924388669
"test" "WALKING" "fBodyAccJerk-mean()-Z" -0.492933167243952
"test" "WALKING" "fBodyAccJerk-meanFreq()-X" -0.23815935332504
"test" "WALKING" "fBodyAccJerk-meanFreq()-Y" -0.346929288188125
"test" "WALKING" "fBodyAccJerk-meanFreq()-Z" -0.229917588557883
"test" "WALKING" "fBodyAccJerk-std()-X" -0.242420560580565
"test" "WALKING" "fBodyAccJerk-std()-Y" -0.0888750052252419
"test" "WALKING" "fBodyAccJerk-std()-Z" -0.549313653548387
"test" "WALKING" "fBodyAccMag-mean()" -0.277965865165121
"test" "WALKING" "fBodyAccMag-meanFreq()" 0.246535948386573
"test" "WALKING" "fBodyAccMag-std()" -0.505450664375
"test" "WALKING" "fBodyBodyAccJerkMag-mean()" -0.200266603682944
"test" "WALKING" "fBodyBodyAccJerkMag-meanFreq()" 0.0936747402477016
"test" "WALKING" "fBodyBodyAccJerkMag-std()" -0.201670204510645
"test" "WALKING" "fBodyBodyGyroJerkMag-mean()" -0.53629723682746
"test" "WALKING" "fBodyBodyGyroJerkMag-meanFreq()" 0.16388942284877
"test" "WALKING" "fBodyBodyGyroJerkMag-std()" -0.546820470782661
"test" "WALKING" "fBodyBodyGyroMag-mean()" -0.448021014490363
"test" "WALKING" "fBodyBodyGyroMag-meanFreq()" 0.203584895763851
"test" "WALKING" "fBodyBodyGyroMag-std()" -0.52913161384879
"test" "WALKING" "fBodyGyro-mean()-X" -0.362109013486694
"test" "WALKING" "fBodyGyro-mean()-Y" -0.425951988348931
"test" "WALKING" "fBodyGyro-mean()-Z" -0.338214254380242
"test" "WALKING" "fBodyGyro-meanFreq()-X" -0.0604274944165524
"test" "WALKING" "fBodyGyro-meanFreq()-Y" -0.0696944825740524
"test" "WALKING" "fBodyGyro-meanFreq()-Z" -0.0454257175669758
"test" "WALKING" "fBodyGyro-std()-X" -0.533422340395161
"test" "WALKING" "fBodyGyro-std()-Y" -0.396217017188105
"test" "WALKING" "fBodyGyro-std()-Z" -0.455425174120968
"test" "WALKING" "tBodyAcc-mean()-X" 0.276526397258064
"test" "WALKING" "tBodyAcc-mean()-Y" -0.018250712002498
"test" "WALKING" "tBodyAcc-mean()-Z" -0.108875750766129
"test" "WALKING" "tBodyAcc-std()-X" -0.319595856634677
"test" "WALKING" "tBodyAcc-std()-Y" -0.031767626453629
"test" "WALKING" "tBodyAcc-std()-Z" -0.342244602873911
"test" "WALKING" "tBodyAccJerk-mean()-X" 0.0731737339316129
"test" "WALKING" "tBodyAccJerk-mean()-Y" 0.00998238899389113
"test" "WALKING" "tBodyAccJerk-mean()-Z" 0.00123049294354839
"test" "WALKING" "tBodyAccJerk-std()-X" -0.230634921260282
"test" "WALKING" "tBodyAccJerk-std()-Y" -0.0986195505663911
"test" "WALKING" "tBodyAccJerk-std()-Z" -0.521739457217742
"test" "WALKING" "tBodyAccJerkMag-mean()" -0.237173351544978
"test" "WALKING" "tBodyAccJerkMag-std()" -0.198067072712843
"test" "WALKING" "tBodyAccMag-mean()" -0.185612933587746
"test" "WALKING" "tBodyAccMag-std()" -0.355577474335887
"test" "WALKING" "tBodyGyro-mean()-X" -0.0433151675165726
"test" "WALKING" "tBodyGyro-mean()-Y" -0.0647420858230101
"test" "WALKING" "tBodyGyro-mean()-Z" 0.0917220728034476
"test" "WALKING" "tBodyGyro-std()-X" -0.49123325066129
"test" "WALKING" "tBodyGyro-std()-Y" -0.40313354348629
"test" "WALKING" "tBodyGyro-std()-Z" -0.382048326903226
"test" "WALKING" "tBodyGyroJerk-mean()-X" -0.0878835560618952
"test" "WALKING" "tBodyGyroJerk-mean()-Y" -0.0452121990068548
"test" "WALKING" "tBodyGyroJerk-mean()-Z" -0.0579666753374798
"test" "WALKING" "tBodyGyroJerk-std()-X" -0.413270422316532
"test" "WALKING" "tBodyGyroJerk-std()-Y" -0.536563346574597
"test" "WALKING" "tBodyGyroJerk-std()-Z" -0.463647341954839
"test" "WALKING" "tBodyGyroJerkMag-mean()" -0.486469326477823
"test" "WALKING" "tBodyGyroJerkMag-std()" -0.525913731689919
"test" "WALKING" "tBodyGyroMag-mean()" -0.318522629716532
"test" "WALKING" "tBodyGyroMag-std()" -0.436169354776008
"test" "WALKING" "tGravityAcc-mean()-X" 0.939130584415323
"test" "WALKING" "tGravityAcc-mean()-Y" -0.189780957912097
"test" "WALKING" "tGravityAcc-mean()-Z" -0.0264384787160887
"test" "WALKING" "tGravityAcc-std()-X" -0.977866512903226
"test" "WALKING" "tGravityAcc-std()-Y" -0.967576257318548
"test" "WALKING" "tGravityAcc-std()-Z" -0.959918772116935
"test" "WALKING" "tGravityAccMag-mean()" -0.185612933587746
"test" "WALKING" "tGravityAccMag-std()" -0.355577474335887
"test" "WALKING_DOWNSTAIRS" "angle(tBodyAccJerkMean),gravityMean)" -0.0112605690980952
"test" "WALKING_DOWNSTAIRS" "angle(tBodyAccMean,gravity)" -0.0420025285357143
"test" "WALKING_DOWNSTAIRS" "angle(tBodyGyroJerkMean,gravityMean)" -0.0889565017019048
"test" "WALKING_DOWNSTAIRS" "angle(tBodyGyroMean,gravityMean)" 0.24777944396219
"test" "WALKING_DOWNSTAIRS" "angle(X,gravityMean)" -0.786982821428571
"test" "WALKING_DOWNSTAIRS" "angle(Y,gravityMean)" 0.202342782069048
"test" "WALKING_DOWNSTAIRS" "angle(Z,gravityMean)" 0.0485663979218405
"test" "WALKING_DOWNSTAIRS" "fBodyAcc-mean()-X" -0.0494806268985714
"test" "WALKING_DOWNSTAIRS" "fBodyAcc-mean()-Y" 0.0165795902297619
"test" "WALKING_DOWNSTAIRS" "fBodyAcc-mean()-Z" -0.262449728171024
"test" "WALKING_DOWNSTAIRS" "fBodyAcc-meanFreq()-X" -0.401317169070952
"test" "WALKING_DOWNSTAIRS" "fBodyAcc-meanFreq()-Y" 0.0184253982163571
"test" "WALKING_DOWNSTAIRS" "fBodyAcc-meanFreq()-Z" 0.0924641444930191
"test" "WALKING_DOWNSTAIRS" "fBodyAcc-std()-X" 0.0282587765922857
"test" "WALKING_DOWNSTAIRS" "fBodyAcc-std()-Y" -0.0548990607438095
"test" "WALKING_DOWNSTAIRS" "fBodyAcc-std()-Z" -0.296229623796381
"test" "WALKING_DOWNSTAIRS" "fBodyAccJerk-mean()-X" -0.130190510361712
"test" "WALKING_DOWNSTAIRS" "fBodyAccJerk-mean()-Y" -0.141035351083571
"test" "WALKING_DOWNSTAIRS" "fBodyAccJerk-mean()-Z" -0.376826510175
"test" "WALKING_DOWNSTAIRS" "fBodyAccJerk-meanFreq()-X" -0.306428802564524
"test" "WALKING_DOWNSTAIRS" "fBodyAccJerk-meanFreq()-Y" -0.367165072502881
"test" "WALKING_DOWNSTAIRS" "fBodyAccJerk-meanFreq()-Z" -0.251991375305
"test" "WALKING_DOWNSTAIRS" "fBodyAccJerk-std()-X" -0.139219708816221
"test" "WALKING_DOWNSTAIRS" "fBodyAccJerk-std()-Y" -0.120492087281667
"test" "WALKING_DOWNSTAIRS" "fBodyAccJerk-std()-Z" -0.470596619978571
"test" "WALKING_DOWNSTAIRS" "fBodyAccMag-mean()" 0.0766089178870952
"test" "WALKING_DOWNSTAIRS" "fBodyAccMag-meanFreq()" 0.0232123926340833
"test" "WALKING_DOWNSTAIRS" "fBodyAccMag-std()" -0.130476071203333
"test" "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag-mean()" -0.0487443964492857
"test" "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag-meanFreq()" 0.0110669771928643
"test" "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag-std()" -0.0504212059297857
"test" "WALKING_DOWNSTAIRS" "fBodyBodyGyroJerkMag-mean()" -0.472266338783095
"test" "WALKING_DOWNSTAIRS" "fBodyBodyGyroJerkMag-meanFreq()" 0.0873987199295
"test" "WALKING_DOWNSTAIRS" "fBodyBodyGyroJerkMag-std()" -0.494187116095476
"test" "WALKING_DOWNSTAIRS" "fBodyBodyGyroMag-mean()" -0.344731299676667
"test" "WALKING_DOWNSTAIRS" "fBodyBodyGyroMag-meanFreq()" 0.0696012116396357
"test" "WALKING_DOWNSTAIRS" "fBodyBodyGyroMag-std()" -0.407172196497619
"test" "WALKING_DOWNSTAIRS" "fBodyGyro-mean()-X" -0.255811666394548
"test" "WALKING_DOWNSTAIRS" "fBodyGyro-mean()-Y" -0.389901050633571
"test" "WALKING_DOWNSTAIRS" "fBodyGyro-mean()-Z" -0.195446042195476
